document_id,consultation_id,consultation_start_date,consultation_end_date,consultation_title,consultation_description,document_source_url,consultation_url,consultation_topics,document_type,document_language,document_title,organisation_id,organisation_name,political_body,consultation_reviewed_at,document_source,consultation_topics_label_source
53119,4954,2024-11-15,2025-02-17,Steuerrabatt bei Überschüssen und guter Finanzlage; Steuergesetz (StG); Änderung,"Mit einer Änderung des Steuergesetzes soll der Grosse Rat neu die Möglichkeit haben, einmalige Steuerrabatte zugunsten der steuerpflichtigen Bevölkerung und der Unternehmen zu gewähren. Damit kann im Fall eines Ertragsüberschusses und bei guter Finanzlage dieser Überschuss oder ein Teil davon der Bevölkerung und der Wirtschaft zurückerstattet werden.",https://www.ag.ch/media/kanton-aargau/portal/aktuell/anhoerungen/kanton/laufende/steuergesetz/adressatenliste.pdf,https://www.demokratis.ch/vernehmlassung/sv5fmkbc,['economics' 'public_finance'],RECIPIENT_LIST,de,Adressatenliste,141,Regierungsrat des Kantons Aargau,ag,2024-11-19 13:45:25,openparldata,manual
53120,4954,2024-11-15,2025-02-17,Steuerrabatt bei Überschüssen und guter Finanzlage; Steuergesetz (StG); Änderung,"Mit einer Änderung des Steuergesetzes soll der Grosse Rat neu die Möglichkeit haben, einmalige Steuerrabatte zugunsten der steuerpflichtigen Bevölkerung und der Unternehmen zu gewähren. Damit kann im Fall eines Ertragsüberschusses und bei guter Finanzlage dieser Überschuss oder ein Teil davon der Bevölkerung und der Wirtschaft zurückerstattet werden.",https://www.ag.ch/media/kanton-aargau/portal/aktuell/anhoerungen/kanton/laufende/steuergesetz/anh-rungsbericht.pdf,https://www.demokratis.ch/vernehmlassung/sv5fmkbc,['economics' 'public_finance'],REPORT,de,Anhörungsbericht,141,Regierungsrat des Kantons Aargau,ag,2024-11-19 13:45:25,openparldata,manual
53121,4954,2024-11-15,2025-02-17,Steuerrabatt bei Überschüssen und guter Finanzlage; Steuergesetz (StG); Änderung,"Mit einer Änderung des Steuergesetzes soll der Grosse Rat neu die Möglichkeit haben, einmalige Steuerrabatte zugunsten der steuerpflichtigen Bevölkerung und der Unternehmen zu gewähren. Damit kann im Fall eines Ertragsüberschusses und bei guter Finanzlage dieser Überschuss oder ein Teil davon der Bevölkerung und der Wirtschaft zurückerstattet werden.",https://www.ag.ch/media/kanton-aargau/portal/aktuell/anhoerungen/kanton/laufende/steuergesetz/beilage-zum-anh-rungsbericht.pdf,https://www.demokratis.ch/vernehmlassung/sv5fmkbc,['economics' 'public_finance'],VARIOUS_TEXT,de,Beilage zum Anhörungsbericht,141,Regierungsrat des Kantons Aargau,ag,2024-11-19 13:45:25,openparldata,manual
53122,4954,2024-11-15,2025-02-17,Steuerrabatt bei Überschüssen und guter Finanzlage; Steuergesetz (StG); Änderung,"Mit einer Änderung des Steuergesetzes soll der Grosse Rat neu die Möglichkeit haben, einmalige Steuerrabatte zugunsten der steuerpflichtigen Bevölkerung und der Unternehmen zu gewähren. Damit kann im Fall eines Ertragsüberschusses und bei guter Finanzlage dieser Überschuss oder ein Teil davon der Bevölkerung und der Wirtschaft zurückerstattet werden.",https://www.ag.ch/media/kanton-aargau/portal/aktuell/anhoerungen/kanton/laufende/steuergesetz/fragebogen-nicht-ausf-llbar.pdf,https://www.demokratis.ch/vernehmlassung/sv5fmkbc,['economics' 'public_finance'],SURVEY,de,Fragebogen (nicht ausfüllbar),141,Regierungsrat des Kantons Aargau,ag,2024-11-19 13:45:25,openparldata,manual
53124,4954,2024-11-15,2025-02-17,Steuerrabatt bei Überschüssen und guter Finanzlage; Steuergesetz (StG); Änderung,"Mit einer Änderung des Steuergesetzes soll der Grosse Rat neu die Möglichkeit haben, einmalige Steuerrabatte zugunsten der steuerpflichtigen Bevölkerung und der Unternehmen zu gewähren. Damit kann im Fall eines Ertragsüberschusses und bei guter Finanzlage dieser Überschuss oder ein Teil davon der Bevölkerung und der Wirtschaft zurückerstattet werden.",https://www.ag.ch/media/kanton-aargau/portal/aktuell/anhoerungen/kanton/laufende/steuergesetz/schreiben-des-vorstehers.pdf,https://www.demokratis.ch/vernehmlassung/sv5fmkbc,['economics' 'public_finance'],LETTER,de,Schreiben des Vorstehers,141,Regierungsrat des Kantons Aargau,ag,2024-11-19 13:45:25,openparldata,manual
52559,4901,2024-09-19,2024-10-31,Revision des Gesetzes über den Fristenlauf (FriG),"Der Bund nimmt auf Anfang 2025 eine Änderung beim Fristenbeginn für Zusendungen von A-Post plus vor. Werden solche Sendungen an Samstagen zugestellt, wird der erste Tag der Frist nicht mehr wie bisher der Sonntag sein, sondern der nächstfolgende Werktag, also üblicherweise der Montag. Diese Änderung betrifft die vom Bund geregelten Verfahren, einschliesslich des Zivil- und Strafprozesses",https://www.ai.ch/politik/standeskommission/kantonale-vernehmlassungen/revision-des-gesetzes-ueber-den-fristenlauf/begleitschreiben-zur-revision-des-gesetzes-ueber-den-fristenlauf-frig.pdf/download,https://www.demokratis.ch/vernehmlassung/w4rqwc8a,['administration' 'communications' 'law'],VARIOUS_TEXT,de,Begleitschreiben zur Revision des Gesetzes über den Fristenlauf (FriG),142,Standeskommission Appenzell Innerrhoden,ai,2024-10-16 10:51:54,openparldata,manual
52560,4901,2024-09-19,2024-10-31,Revision des Gesetzes über den Fristenlauf (FriG),"Der Bund nimmt auf Anfang 2025 eine Änderung beim Fristenbeginn für Zusendungen von A-Post plus vor. Werden solche Sendungen an Samstagen zugestellt, wird der erste Tag der Frist nicht mehr wie bisher der Sonntag sein, sondern der nächstfolgende Werktag, also üblicherweise der Montag. Diese Änderung betrifft die vom Bund geregelten Verfahren, einschliesslich des Zivil- und Strafprozesses",https://www.ai.ch/politik/standeskommission/kantonale-vernehmlassungen/revision-des-gesetzes-ueber-den-fristenlauf/entwurf-botschaft-zur-revision-des-gesetzes-ueber-den-fristenlauf-frig.pdf/download,https://www.demokratis.ch/vernehmlassung/w4rqwc8a,['administration' 'communications' 'law'],VARIOUS_TEXT,de,Entwurf Botschaft zur Revision des Gesetzes über den Fristenlauf (FriG),142,Standeskommission Appenzell Innerrhoden,ai,2024-10-16 10:51:54,openparldata,manual
52561,4901,2024-09-19,2024-10-31,Revision des Gesetzes über den Fristenlauf (FriG),"Der Bund nimmt auf Anfang 2025 eine Änderung beim Fristenbeginn für Zusendungen von A-Post plus vor. Werden solche Sendungen an Samstagen zugestellt, wird der erste Tag der Frist nicht mehr wie bisher der Sonntag sein, sondern der nächstfolgende Werktag, also üblicherweise der Montag. Diese Änderung betrifft die vom Bund geregelten Verfahren, einschliesslich des Zivil- und Strafprozesses",https://www.ai.ch/politik/standeskommission/kantonale-vernehmlassungen/revision-des-gesetzes-ueber-den-fristenlauf/entwurf-revision-des-gesetzes-ueber-den-fristenlauf-frig.pdf/download,https://www.demokratis.ch/vernehmlassung/w4rqwc8a,['administration' 'communications' 'law'],VARIOUS_TEXT,de,Entwurf Revision des Gesetzes über den Fristenlauf (FriG),142,Standeskommission Appenzell Innerrhoden,ai,2024-10-16 10:51:54,openparldata,manual
52562,4901,2024-09-19,2024-10-31,Revision des Gesetzes über den Fristenlauf (FriG),"Der Bund nimmt auf Anfang 2025 eine Änderung beim Fristenbeginn für Zusendungen von A-Post plus vor. Werden solche Sendungen an Samstagen zugestellt, wird der erste Tag der Frist nicht mehr wie bisher der Sonntag sein, sondern der nächstfolgende Werktag, also üblicherweise der Montag. Diese Änderung betrifft die vom Bund geregelten Verfahren, einschliesslich des Zivil- und Strafprozesses",https://www.ai.ch/politik/standeskommission/kantonale-vernehmlassungen/revision-des-gesetzes-ueber-den-fristenlauf/entwurf-synopse-zur-revision-des-gesetzes-ueber-den-fristenlauf-frig.pdf/download,https://www.demokratis.ch/vernehmlassung/w4rqwc8a,['administration' 'communications' 'law'],VARIOUS_TEXT,de,Entwurf Synopse zur Revision des Gesetzes über den Fristenlauf (FriG),142,Standeskommission Appenzell Innerrhoden,ai,2024-10-16 10:51:54,openparldata,manual
49506,4743,2024-05-31,2024-09-06,Strassenverkehrs- und Sicherheitszentrum Appenzell Ausserrhoden,"Die Strafanstalt ist sanierungsbedürftig und entspricht nicht mehr den geltenden Vorgaben. Gleichzeitig soll in Gmünden ein zentraler Neubau des Strassenverkehrsamts erstellt werden. Auch die Räumlichkeiten der Regional- und Verkehrspolizei (ReVepo) in Trogen genügen den heutigen Anforderungen nicht mehr. Zudem ist der Verkehrsbereich der ReVepo auf zwei Standorte (Trogen und Herisau) verteilt. Wegen der zahlreichen Schnittstellen zum Strassenverkehrsamt soll auch die Verkehrspolizei in den Neubau in Gmünden integriert werden. Gleichzeitig kann der Verkehrsbereich der ReVepo örtlich zusammengeführt werden. Dank der gemeinsamen Realisierung der Projekte für die Gefängnisse, für das Strassenverkehrsamt und für die Verkehrspolizei können verschiedene Synergien erzielt werden.",https://ar.ch/fileadmin/user_upload/Kantonskanzlei/Rechtsdienst/Volksrechte/Vernehmlassungen/2024_Gmuenden__Strassenverkehrs-_und_Sicherheitszentrum_AR/Bauplaene_und_Projektbilder.pdf,https://www.demokratis.ch/vernehmlassung/nsaruuxx,['security' 'transportation'],VARIOUS_TEXT,de,Baupläne und Projektbilder,143,Regierungsrat von Appenzell Ausserrhoden,ar,2024-11-13 15:37:50,openparldata,manual
